datetimestamp_utc,pop_ping_drop_rate,pop_ping_latency_ms,downlink_throughput_bps,uplink_throughput_bps,snr,scheduled,obstructed,power_w
2024-10-03T23:57:51,0.0,30.617502212524414,8569542.0,669813.5625,,,,32.76399230957031
2024-10-03T23:57:52,0.0,27.79331398010254,1533865.375,409758.34375,,,,35.252967834472656
2024-10-03T23:57:53,0.0,31.569623947143555,108632.4765625,294222.03125,,,,34.80995178222656
2024-10-03T23:57:54,0.0,31.898250579833984,680433.5625,302174.4375,,,,31.69259262084961
2024-10-03T23:57:55,0.0,32.89459991455078,29100.08203125,268359.96875,,,,30.060644149780273
2024-10-03T23:57:56,0.0,31.427534103393555,270121.5625,359854.5,,,,29.915512084960938
2024-10-03T23:57:57,0.0,35.52487564086914,136214.21875,285841.8125,,,,32.14476013183594
2024-10-03T23:57:58,0.0,36.57186508178711,3392210.5,418532.8125,,,,33.97340774536133
2024-10-03T23:57:59,0.0,26.680469512939453,3242809.25,389332.0625,,,,33.72649383544922
2024-10-03T23:58:00,0.0,26.985877990722656,30635.197265625,258855.671875,,,,34.81805419921875
2024-10-03T23:58:01,0.0,29.973312377929688,5556077.0,505262.625,,,,34.77360534667969
2024-10-03T23:58:02,0.0,32.217750549316406,3276967.75,419380.0625,,,,33.30818557739258
2024-10-03T23:58:03,0.0,33.34626770019531,33168.5546875,259015.046875,,,,32.74037170410156
2024-10-03T23:58:04,0.0,31.352001190185547,389625.6875,428423.0,,,,33.08253479003906
2024-10-03T23:58:05,0.0,30.017627716064453,75027.7109375,257102.453125,,,,34.49060821533203
2024-10-03T23:58:06,0.0,35.27446746826172,143873.015625,352178.9375,,,,32.760498046875
2024-10-03T23:58:07,0.0,31.374753952026367,61614.32421875,294163.3125,,,,32.10299301147461
2024-10-03T23:58:08,0.0,28.242877960205078,39468.40234375,262353.71875,,,,34.53961181640625
2024-10-03T23:58:09,0.0,27.149063110351562,101460.2109375,286621.96875,,,,35.5383415222168
2024-10-03T23:58:10,0.0,28.440624237060547,690315.3125,348068.5,,,,34.966957092285156
2024-10-03T23:58:11,0.0,29.289562225341797,4771885.0,509146.5625,,,,33.701202392578125
2024-10-03T23:58:12,0.0,27.3093318939209,6384309.5,630580.0625,,,,35.9967041015625
2024-10-03T23:58:13,0.0,27.573266983032227,9337980.0,699702.1875,,,,41.188507080078125
2024-10-03T23:58:14,0.0,25.53612518310547,485507.46875,290606.5625,,,,42.45060348510742
2024-10-03T23:58:15,0.0,25.174440383911133,78290.875,310336.5625,,,,41.23215103149414
